state_name,state_code,area_square_miles,area_acres
Alabama,AL,52420.0,33548800.0
Alaska,AK,665384.0,425845760.0
Arizona,AZ,113990.0,72953600.0
Arkansas,AR,53179.0,34034560.0
California,CA,163695.0,104764800.0
Colorado,CO,104094.0,66620160.0
Connecticut,CT,5543.0,3547520.0
Delaware,DE,2489.0,1592960.0
District of Columbia,DC,68.0,43520.0
Florida,FL,65758.0,42085120.0
Georgia,GA,59425.0,38032000.0
Hawaii,HI,10932.0,6996480.0
Idaho,ID,83569.0,53484160.0
Illinois,IL,57914.0,37064960.0
Indiana,IN,36420.0,23308800.0
Iowa,IA,56273.0,36014720.0
Kansas,KS,82278.0,52657920.0
Kentucky,KY,40408.0,25861120.0
Louisiana,LA,52378.0,33521920.0
Maine,ME,35380.0,22643200.0
Maryland,MD,12406.0,7939840.0
Massachusetts,MA,10554.0,6754560.0
Michigan,MI,96714.0,61896960.0
Minnesota,MN,86936.0,55639040.0
Mississippi,MS,48432.0,30996480.0
Missouri,MO,69707.0,44612480.0
Montana,MT,147040.0,94105600.0
Nebraska,NE,77348.0,49502720.0
Nevada,NV,110572.0,70766080.0
New Hampshire,NH,9349.0,5983360.0
New Jersey,NJ,8723.0,5582720.0
New Mexico,NM,121590.0,77817600.0
New York,NY,54555.0,34915200.0
North Carolina,NC,53819.0,34444160.0
North Dakota,ND,70698.0,45246720.0
Ohio,OH,44826.0,28688640.0
Oklahoma,OK,69899.0,44735360.0
Oregon,OR,98379.0,62962560.0
Pennsylvania,PA,46054.0,29474560.0
Rhode Island,RI,1545.0,988800.0
South Carolina,SC,32020.0,20492800.0
South Dakota,SD,77116.0,49354240.0
Tennessee,TN,42144.0,26972160.0
Texas,TX,268596.0,171901440.0
Utah,UT,84897.0,54334080.0
Vermont,VT,9616.0,6154240.0
Virginia,VA,42775.0,27376000.0
Washington,WA,71298.0,45630720.0
West Virginia,WV,24230.0,15507200.0
Wisconsin,WI,65496.0,41917440.0
Wyoming,WY,97813.0,62600320.0
Puerto Rico,PR,5325.0,3408000.0
American Samoa,AS,581.0,371840.0
Guam,GU,571.0,365440.0
Northern Mariana Islands,MP,1976.0,1264640.0
U.S. Virgin Islands,VI,733.0,469120.0
