park_name,date_established
Assateague Island,1965-09-21
Canaveral,1975-01-03
Cape Cod,1966-06-01
Cape Hatteras,1953-01-12
Cape Lookout,1966-03-10
Cumberland Island,1972-10-23
Fire Island,1964-09-11
Gulf Islands,1971-01-08
Padre Island,1968-04-06
Point Reyes,1972-10-20
Apostle Islands,1970-09-26
Pictured Rocks,1966-10-15
Sleeping Bear Dunes,1970-10-21
Arkansas Post,1960-07-06
"Arlington House, The Robert E. Lee Memorial",1955-06-25
Chamizal,1974-02-04
Coronado,1952-11-05
De Soto,1948-03-11
Federal Hall,1955-08-11
Flight 93,2011-09-10
Fort Caroline,1953-01-16
Franklin Delano Roosevelt Memorial,1997-05-02
General Grant,1959-05-01
Hamilton Grange,1988-11-19
Johnstown Flood,1964-08-31
Korean War Veterans Memorial,1995-07-27
Lincoln Boyhood,1962-02-19
Lincoln Memorial,1922-05-30
Lyndon Baines Johnson Memorial Grove on the Potomac,1974-09-27
Martin Luther King Jr. Memorial,2011-08-28
Mount Rushmore,1939-07-01
Pearl Harbor,2019-03-12
Perry's Victory and International Peace Memorial,1972-10-26
Port Chicago Naval Magazine,1992-10-28
Roger Williams,1965-10-22
Thaddeus Kosciuszko,1972-10-21
Theodore Roosevelt Island,1967-10-27
Thomas Jefferson Memorial,1943-04-13
Vietnam Veterans Memorial,1982-11-13
Washington Monument,1885-02-21
World War I Memorial,2014-12-19
World War II Memorial,2004-05-29
Wright Brothers,1953-12-04
African Burial Ground,2006-02-27
Agate Fossil Beds,1997-06-14
Alibates Flint Quarries,1965-08-21
Aniakchak,1978-12-01
Aztec Ruins,1923-01-24
Bandelier,1916-02-11
Belmont-Paul Women's Equality,2016-04-12
Birmingham Civil Rights,2017-01-12
Booker T. Washington,1956-04-02
Buck Island Reef,1961-12-28
Cabrillo,1913-10-14
Camp Nelson Heritage,2018-10-26
Canyon de Chelly,1931-04-01
Cape Krusenstern,1978-12-01
Capulin Volcano,1916-08-09
Casa Grande Ruins,1918-08-03
Castillo de San Marcos,1924-10-15
Castle Clinton,1946-08-12
Castle Mountains,2016-02-12
Cedar Breaks,1933-08-22
César E. Chávez,2012-10-08
Charles Young Buffalo Soldiers,2013-03-25
Chiricahua,1924-04-18
Colorado,1911-05-24
Craters of the Moon,1924-05-02
Devils Postpile,1911-07-06
Devils Tower,1906-09-24
Dinosaur,1915-10-04
Effigy Mounds,1949-10-25
El Malpais,1987-12-31
El Morro,1906-12-08
Florissant Fossil Beds,1969-08-20
Fort Frederica,1936-05-26
Fort Matanzas,1924-10-15
Fort McHenry,1925-03-03
Fort Monroe,2011-11-01
Fort Pulaski,1924-10-15
Fort Stanwix,1935-08-21
Fort Union,1956-04-05
Fossil Butte,1972-10-23
Freedom Riders,2017-01-12
George Washington Birthplace,1930-01-23
George Washington Carver,1943-07-14
Gila Cliff Dwellings,1907-11-16
Governors Island,2001-01-19
Grand Portage,1960-01-27
Hagerman Fossil Beds,1988-11-18
Hohokam Pima,1972-10-21
Homestead,1936-03-19
Hovenweep,1923-03-02
Jewel Cave,1908-02-07
John Day Fossil Beds,1974-10-26
Katahdin Woods and Waters,2016-08-24
Lava Beds,1925-11-21
Little Bighorn Battlefield,1940-07-01
Medgar and Myrlie Evers Home,2019-03-12
Mill Springs Battlefield,2019-03-12
Montezuma Castle,1906-12-08
Muir Woods,1908-01-09
Natural Bridges,1908-04-16
Navajo,1909-03-20
Oregon Caves,1909-07-12
Organ Pipe Cactus,1937-04-13
Petroglyph,1990-06-27
Pipe Spring,1923-05-31
Pipestone,1937-08-25
Poverty Point,1988-10-31
Pullman,2015-02-19
Rainbow Bridge,1910-05-30
Russell Cave,1961-05-11
Salinas Pueblo Missions,1909-11-01
Scotts Bluff,1919-12-12
Statue of Liberty,1924-10-15
Stonewall,2016-06-24
Sunset Crater Volcano,1930-05-30
Timpanogos Cave,1922-10-14
Tonto,1907-10-21
Tule Lake,2008-12-05
Tule Springs Fossil Beds,2014-12-19
Tuzigoot,1939-07-25
Virgin Islands Coral Reef,2001-01-17
Waco Mammoth,2015-07-10
Walnut Canyon,1915-11-30
White Sands,1933-01-18
Wupatki,1924-12-09
Yucca House,1919-12-19
Acadia,1919-02-26
American Samoa,1988-10-31
Arches,1971-11-12
Badlands,1978-11-10
Big Bend,1944-06-12
Biscayne,1980-06-28
Black Canyon of the Gunnison,1999-10-21
Bryce Canyon,1928-02-25
Canyonlands,1964-09-12
Capitol Reef,1971-12-18
Carlsbad Caverns,1930-05-14
Channel Islands,1980-03-05
Congaree,2003-11-10
Crater Lake,1902-05-22
Cuyahoga Valley,2000-10-11
Death Valley,1994-10-31
Denali,1917-02-26
Dry Tortugas,1992-10-26
Everglades,1934-05-30
Gates of the Arctic,1980-12-02
Gateway Arch,2018-02-22
Glacier,1910-05-11
Glacier Bay,1980-12-02
Grand Canyon,1919-02-26
Grand Teton,1929-02-26
Great Basin,1986-10-27
Great Sand Dunes,2004-09-13
Great Smoky Mountains,1934-06-15
Guadalupe Mountains,1966-10-15
Haleakalā,1916-08-01
Hawaiʻi Volcanoes,1916-08-01
Hot Springs,1921-03-04
Indiana Dunes,2019-02-15
Isle Royale,1940-04-03
Joshua Tree,1994-10-31
Katmai,1980-12-02
Kenai Fjords,1980-12-02
Kings Canyon,1940-03-04
Kobuk Valley,1980-12-02
Lake Clark,1980-12-02
Lassen Volcanic,1916-08-09
Mammoth Cave,1941-07-01
